id,lyric,category
1,"Careful what you wish for, you just might get it all.","how"
2,"Life can always change, you have to adjust.","how"
3,"Wish you would learn to love people and use things, and not the other way around.","how"
4,"You know life is what we make it, and a chance is like a picture, it’d be nice if you just take it.","how"
5,"I thought I found the girl of my dreams at a strip club. Mmm mmm, fuck it I was wrong though.","non-question"
6,"I want your hot love and emotion, endlessly.","non-question"
7,"If you don't want a sarcastic answer, don't ask a stupid question.","non-question"
8,"It’s crazy all the emotions forgot in a year.","non-question"
9,"Let’s do the things that we say on text","non-question"
10,"May your neighbors respect you, trouble neglect you, angels protect you and heaven accept you.","non-question"
11,"My enemies wanna be friends with my other enemies/ I don't let it get to me","non-question"
12,"Never make permanent decisions on my temporary feelings.","non-question"
13,"Still finding myself, let alone a soulmate.","non-question"
14,"Those are thoughts too deep to go work em out with a therapist.","non-question"
15,"Your best day is my worst day.","non-question"
16,"Accept yourself. You don't have to prove sh*t to no one except yourself","should"
17,"Don't be easy to get because then you'll be easy to forget.","should"
18,"Don’t get hyped for the moment then start to backpedal","should"
19,"It's useless all this fighting, let's get past it now.","should"
20,"Maybe we should try and help somebody or be somebody. Instead of being somebody that makes the news, so everybody can tweet about it.","should"
21,"The good ones go, if you wait too long.","should"
22,"Live for today, plan for tomorrow, party tonight.","what"
23,"Make the most out of tonight, and worry about it all tomorrow.","what"
24,"There's more to life than sleeping in and getting high with you.","what"
25,"Work, work, work, work, work.","what"
26,"You don't worry 'bout fittin in when you custom made","what"
27,"A goal is just a dream with a deadline.","when"
28,"Don’t get impatient when it takes too long, and drink it all even when it tastes too strong","when"
29,"Degrassi","where"
30,"Just hold on, we're going home.","where"
31,"The 6","where"
32,"Don’t give them no more chances, they had their turn. Everything for a reason, there’s things you had to learn from them.","who"
33,"Drake","who"
34,"Drizzy","who"
35,"Me","who"
36,"‘Don’t ever take advice,’ that was great advice","why"
37,"Cause you're a good girl and you know it.","why"
38,"Tables turn, bridges burn, you live and learn.","why"
39,"We walk the same path, but got on different shoes. Live in the same building, but we got different views.","why"
40,"Working with the negatives can make for better pictures.","why"
